,Country,Broadband Speed Rank,Broadband Mbps,Mobile Speed Rank,Mobile Mbps,As of
66,Philippines,67.0,49.52,92.0,17.95,January 2022
67,Serbia,68.0,48.97,43.0,41.06,January 2022
68,Czechia,69.0,47.68,40.0,44.72,January 2022
69,Bahrain,70.0,47.38,39.0,44.89,January 2022
70,Slovakia,71.0,47.34,59.0,31.9,January 2022
71,India,72.0,47.08,116.0,13.49,January 2022
72,Mongolia,73.0,46.81,108.0,15.6,January 2022
73,Belarus,74.0,45.67,126.0,11.19,January 2022
74,Kosovo,75.0,45.28,64.0,26.91,January 2022
75,Kyrgyzstan,76.0,43.31,96.0,17.45,January 2022
76,Peru,77.0,43.21,113.0,14.74,January 2022
77,Oman,78.0,42.65,32.0,50.38,January 2022
78,Nepal,79.0,39.73,112.0,14.96,January 2022
79,Croatia,80.0,39.54,14.0,76.61,January 2022
80,Mexico,81.0,38.77,80.0,22.26,January 2022
81,Argentina,82.0,38.47,84.0,20.07,January 2022
83,Uzbekistan,84.0,36.85,115.0,13.85,January 2022
84,Jamaica,85.0,36.45,55.0,32.88,January 2022
85,Egypt,86.0,35.67,88.0,19.34,January 2022
86,Brunei,87.0,35.26,17.0,76.02,January 2022
87,Armenia,88.0,34.26,69.0,26.23,January 2022
88,Ecuador,89.0,33.96,87.0,19.51,January 2022
89,Kazakhstan,90.0,33.76,91.0,18.0,January 2022
90,Albania,91.0,33.5,48.0,35.62,January 2022
91,Greece,92.0,33.41,25.0,55.49,January 2022
93,Bangladesh,94.0,31.52,130.0,9.81,January 2022
94,Côte d'Ivoire,95.0,31.42,131.0,9.62,January 2022
96,South Africa,97.0,29.6,54.0,33.26,January 2022
97,Cyprus,98.0,29.48,13.0,76.66,January 2022
98,Nicaragua,99.0,29.04,101.0,16.56,January 2022
99,Laos,100.0,28.11,76.0,23.47,January 2022
100,Ghana,101.0,27.16,134.0,7.33,January 2022
101,North Macedonia,102.0,26.77,22.0,61.96,January 2022
102,Turkey,103.0,26.34,58.0,32.28,January 2022
103,Honduras,104.0,25.98,86.0,19.65,January 2022
106,Bolivia,107.0,24.19,105.0,15.97,January 2022
107,Bosnia and Herzegovina,108.0,22.56,70.0,26.18,January 2022
109,Guatemala,110.0,21.56,93.0,17.82,January 2022
110,El Salvador,111.0,21.11,81.0,21.91,January 2022
111,Sri Lanka,112.0,20.94,114.0,13.96,January 2022
112,Iraq,113.0,20.64,47.0,36.12,January 2022
113,Senegal,114.0,20.36,104.0,15.98,January 2022
114,Indonesia,115.0,20.2,103.0,16.36,January 2022
115,Georgia,116.0,20.18,61.0,29.71,January 2022
116,Mauritius,117.0,19.88,83.0,20.59,January 2022
117,Burkina Faso,118.0,19.71,124.0,11.52,January 2022
118,Cambodia,119.0,19.36,99.0,16.82,January 2022
121,Azerbaijan,122.0,17.4,60.0,30.96,January 2022
123,Tajikistan,124.0,16.96,135.0,6.43,January 2022
126,Dominican Republic,127.0,15.52,97.0,17.21,January 2022
127,Republic of the Union of Myanmar,128.0,15.2,68.0,26.29,January 2022
128,Haiti,129.0,14.89,129.0,10.02,January 2022
129,Palestine,130.0,14.3,137.0,5.72,January 2022
131,Morocco,132.0,12.78,66.0,26.86,January 2022
132,Fiji,133.0,12.27,79.0,22.75,January 2022
133,Angola,134.0,11.97,72.0,25.43,January 2022
135,Libya,136.0,11.0,128.0,10.35,January 2022
136,Maldives,137.0,10.97,37.0,46.87,January 2022
140,Iran,141.0,10.39,77.0,23.1,January 2022
141,Nigeria,142.0,10.06,90.0,18.33,January 2022
143,Algeria,144.0,9.72,125.0,11.31,January 2022
144,Uganda,145.0,9.57,111.0,15.02,January 2022
147,Tanzania,148.0,9.45,127.0,10.44,January 2022
150,Pakistan,151.0,9.12,102.0,16.56,January 2022
151,Cameroon,152.0,9.04,117.0,13.07,January 2022
152,Kenya,153.0,8.91,107.0,15.81,January 2022
155,Namibia,156.0,8.29,85.0,20.04,January 2022
157,Tunisia,158.0,7.64,82.0,21.78,January 2022
158,Lebanon,159.0,7.27,94.0,17.72,January 2022
159,Botswana,160.0,7.22,73.0,24.79,January 2022
160,Venezuela,161.0,7.15,136.0,5.99,January 2022
161,Somalia,162.0,6.78,132.0,7.98,January 2022
162,Mozambique,163.0,6.23,120.0,12.52,January 2022
166,Zimbabwe,167.0,5.21,123.0,12.02,January 2022
169,Zambia,170.0,4.6,121.0,12.46,January 2022
172,Sudan,173.0,3.28,133.0,7.83,January 2022
173,Syria,174.0,2.87,122.0,12.24,January 2022
174,Yemen,175.0,2.74,140.0,0.53,January 2022
175,Ethiopia,176.0,2.69,78.0,22.83,January 2022
176,Cuba,177.0,1.9,119.0,12.71,January 2022
177,Turkmenistan,178.0,1.89,139.0,3.09,January 2022
178,Afghanistan,179.0,1.62,138.0,5.1,January 2022
