Country,Broadband Speed Rank,Broadband Mbps,Mobile Speed Rank,Mobile Mbps,As of
Maldives,137,10.97,37,46.87,22-Jan
Suriname,138,10.79,,,22-Jan
Benin,139,10.77,,,22-Jan
Western Sahara,140,10.51,,,22-Jan
Iran,141,10.39,77,23.1,22-Jan
Nigeria,142,10.06,90,18.33,22-Jan
Micronesia,143,9.75,,,22-Jan
Algeria,144,9.72,125,11.31,22-Jan
Uganda,145,9.57,111,15.02,22-Jan
Rwanda,146,9.52,,,22-Jan
Liberia,147,9.48,,,22-Jan
Tanzania,148,9.45,127,10.44,22-Jan
Marshall Islands,149,9.29,,,22-Jan
Papua New Guinea,150,9.25,,,22-Jan
Pakistan,151,9.12,102,16.56,22-Jan
Cameroon,152,9.04,117,13.07,22-Jan
Kenya,153,8.91,107,15.81,22-Jan
Sierra Leone,154,8.57,,,22-Jan
Bhutan,155,8.52,,,22-Jan
Namibia,156,8.29,85,20.04,22-Jan
The Gambia,157,7.84,,,22-Jan
Tunisia,158,7.64,82,21.78,22-Jan
Lebanon,159,7.27,94,17.72,22-Jan
Botswana,160,7.22,73,24.79,22-Jan
Venezuela,161,7.15,136,5.99,22-Jan
Somalia,162,6.78,132,7.98,22-Jan
Mozambique,163,6.23,120,12.52,22-Jan
Mauritania,164,6.1,,,22-Jan
Malawi,165,5.54,,,22-Jan
Burundi,166,5.44,,,22-Jan
Zimbabwe,167,5.21,123,12.02,22-Jan
Swaziland,168,4.94,,,22-Jan
Djibouti,169,4.71,,,22-Jan
Zambia,170,4.6,121,12.46,22-Jan
Niger,171,3.85,,,22-Jan
Guinea,172,3.79,,,22-Jan
Sudan,173,3.28,133,7.83,22-Jan
Syria,174,2.87,122,12.24,22-Jan
Yemen,175,2.74,140,0.53,22-Jan
Ethiopia,176,2.69,78,22.83,22-Jan
Cuba,177,1.9,119,12.71,22-Jan
Turkmenistan,178,1.89,139,3.09,22-Jan
Afghanistan,179,1.62,138,5.1,22-Jan
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
