,Country,Broadband Speed Rank,Broadband Mbps,Mobile Speed Rank,Mobile Mbps,As of
126,Dominican Republic,127.0,15.52,97.0,17.21,22-Jan
127,Republic of the Union of Myanmar,128.0,15.2,68.0,26.29,22-Jan
128,Haiti,129.0,14.89,129.0,10.02,22-Jan
129,Palestine,130.0,14.3,137.0,5.72,22-Jan
130,Gabon,131.0,13.41,,,22-Jan
131,Morocco,132.0,12.78,66.0,26.86,22-Jan
132,Fiji,133.0,12.27,79.0,22.75,22-Jan
133,Angola,134.0,11.97,72.0,25.43,22-Jan
134,Congo,135.0,11.84,,,22-Jan
135,Libya,136.0,11.0,128.0,10.35,22-Jan
136,Maldives,137.0,10.97,37.0,46.87,22-Jan
137,Suriname,138.0,10.79,,,22-Jan
138,Benin,139.0,10.77,,,22-Jan
139,Western Sahara,140.0,10.51,,,22-Jan
140,Iran,141.0,10.39,77.0,23.1,22-Jan
141,Nigeria,142.0,10.06,90.0,18.33,22-Jan
142,Micronesia,143.0,9.75,,,22-Jan
143,Algeria,144.0,9.72,125.0,11.31,22-Jan
144,Uganda,145.0,9.57,111.0,15.02,22-Jan
145,Rwanda,146.0,9.52,,,22-Jan
146,Liberia,147.0,9.48,,,22-Jan
147,Tanzania,148.0,9.45,127.0,10.44,22-Jan
148,Marshall Islands,149.0,9.29,,,22-Jan
149,Papua New Guinea,150.0,9.25,,,22-Jan
150,Pakistan,151.0,9.12,102.0,16.56,22-Jan
151,Cameroon,152.0,9.04,117.0,13.07,22-Jan
152,Kenya,153.0,8.91,107.0,15.81,22-Jan
153,Sierra Leone,154.0,8.57,,,22-Jan
154,Bhutan,155.0,8.52,,,22-Jan
155,Namibia,156.0,8.29,85.0,20.04,22-Jan
156,The Gambia,157.0,7.84,,,22-Jan
157,Tunisia,158.0,7.64,82.0,21.78,22-Jan
158,Lebanon,159.0,7.27,94.0,17.72,22-Jan
159,Botswana,160.0,7.22,73.0,24.79,22-Jan
160,Venezuela,161.0,7.15,136.0,5.99,22-Jan
161,Somalia,162.0,6.78,132.0,7.98,22-Jan
162,Mozambique,163.0,6.23,120.0,12.52,22-Jan
163,Mauritania,164.0,6.1,,,22-Jan
164,Malawi,165.0,5.54,,,22-Jan
165,Burundi,166.0,5.44,,,22-Jan
166,Zimbabwe,167.0,5.21,123.0,12.02,22-Jan
167,Swaziland,168.0,4.94,,,22-Jan
168,Djibouti,169.0,4.71,,,22-Jan
169,Zambia,170.0,4.6,121.0,12.46,22-Jan
170,Niger,171.0,3.85,,,22-Jan
171,Guinea,172.0,3.79,,,22-Jan
172,Sudan,173.0,3.28,133.0,7.83,22-Jan
173,Syria,174.0,2.87,122.0,12.24,22-Jan
174,Yemen,175.0,2.74,140.0,0.53,22-Jan
175,Ethiopia,176.0,2.69,78.0,22.83,22-Jan
176,Cuba,177.0,1.9,119.0,12.71,22-Jan
177,Turkmenistan,178.0,1.89,139.0,3.09,22-Jan
178,Afghanistan,179.0,1.62,138.0,5.1,22-Jan
