Country,Broadband Mbps,GDP 2020,Rural Population
Afghanistan,1.62,20116137326,74.0
Albania,33.5,9.21E+11,37.9
Algeria,9.72,7.85E+11,26.3
Andorra,92.42,14887629268,12.1
Angola,11.97,1.45E+11,33.2
Antigua and Barbuda,17.36,709000000,75.6
Argentina,38.47,,7.9
Armenia,34.26,58375976293,36.7
Australia,50.89,1370281481,13.8
Austria,51.62,2.45E+12,41.3
Azerbaijan,17.4,3.89E+11,43.6
Bahrain,47.38,12641209802,10.5
Bangladesh,31.52,,61.8
Barbados,68.83,1.33E+12,68.8
Belarus,45.67,4.33E+11,20.5
Belgium,81.1,42607176471,1.9
Belize,31.81,9907500000,54.0
Benin,10.77,34729228723,51.6
Bhutan,8.52,3.23E+11,57.7
Bolivia,24.19,4418000000,29.9
Bosnia and Herzegovina,22.56,60258239056,51.0
Botswana,7.22,5.22E+11,29.1
Brazil,87.52,1636280797,12.9
Brunei,35.26,15651545332,21.8
Bulgaria,55.9,6842700000,24.3
Burkina Faso,19.71,2315437338,69.4
Burundi,5.44,36572764863,86.3
C̫te d'Ivoire,31.42,19946496563,48.3
Cambodia,19.36,15061922802,75.8
Cameroon,9.04,1.44E+12,42.4
Canada,100.06,,18.4
Cape Verde,16.37,12005825770,33.3
Chile,189.36,69889347433,12.3
China,155.79,17933606353,38.6
Colombia,59.97,2841786382,18.6
Congo,11.84,1703698677,54.4
Costa Rica,50.79,25808561551,19.2
Croatia,39.54,40804449726,42.4
Cuba,1.9,1.65E+12,22.8
Cyprus,29.48,66039332389,33.2
Czechia,47.68,5591623665,25.9
Denmark,163.6,2380087758,11.9
Djibouti,4.71,1.65E+12,21.9
Dominica,50.96,10829076802,28.9
Dominican Republic,15.52,,17.5
Ecuador,33.96,2.53E+11,35.8
Egypt,35.67,1.47E+13,57.2
El Salvador,21.11,2.71E+11,26.6
Estonia,52.3,1235400352,30.8
Ethiopia,2.69,48716960860,78.3
Fiji,12.27,10187122341,42.8
Finland,89.6,61846895121,14.5
France,94.34,61348579465,19.0
Gabon,13.41,57203783203,9.9
Georgia,20.18,1.07E+11,40.5
Germany,69.52,2595821709,22.5
Ghana,27.16,24612646488,42.7
